55785e_10	 Am spart ușile unei cabine și am căzut la pământ...	 Am dat buzna printre uși și am căzut.
49940c_50147	 Montgomerie s-a plimbat pe lângă green, așteptând o liniște totală.	 Montgomerie s-a plimbat pe lângă green, așteptând să înceapă agitația.
73399n_50182	 Da, chiar este, au curățat-o mult, deși nu cred că vom avea probleme dacă facem asta.	 Acest lucru nu este sigur, dar nu ne va aduce probleme.
26247e_50202	 Și când un ou se clocește, nu încerci să-l pui la loc!".  Nu părea un fanatic, își spuse Dave.	 Dave și-a spus că nu pare nebun.
15213e_50217	 Pe scaunul șoferului se afla un body-guard.	 La volanul mașinii se afla un ofițer de securitate personală.
47629e_50234	 un vierme, un vierme tăiat, nu un vierme de vierme.	 Nu vorbesc despre un vierme de larvă.
74219e_50242	 Red i-a privit cum se îndepărtau și, când s-a întors, l-a văzut pe Slim aruncând o privire precaută dintre mărăcinii unui gard viu.	 Red a observat grupul care pleca și a zărit pe altcineva.
28555n_50280	 Cu toate acestea, implicarea ateniană l-a provocat pe regele persan Darius să invadeze Grecia continentală.	 Invazia persană în Grecia continentală nu a avut succes.
19675e_50317	 Când nu se întâmplă nimic care să amelioreze situația, puteți spune, fără menajamente, "Îmi pare atât de rău, numele dvs. mi-a dispărut din cap".	 Când nu poți face mai bine, cere-ți scuze că i-ai uitat numele.
138127c_50325	 Codul, mai liberal decât legile din alte părți din Sud, a rămas în vigoare în Louisiana timp de un secol.	 Codul era mai strict în comparație cu alte legi ale statelor din sud. 
60467e_50337	 aș vrea să fiu acolo dimineața, de la 9:30 la 10:30.	 Dar aș vrea să fiu prezentă dis-de-dimineață.
40797e_50345	 Percepția este că practicienii solo sunt cei care au luat C-uri, cei de mâna a doua care nu au excelat suficient pentru a ajunge la firmele mari.	 Practicienii independenți nu au reușit să obțină locuri de muncă la companiile mai bune.
15689n_50367	 am o prietenă care are una pe care soțul ei nu știe că o are acum uh ea trebuie să închirieze o căsuță poștală sau ceva de genul sau vreau să spun că nu ar putea să-l bată la poștă în fiecare lună nu aș crede	 Prietena mea închiriază o căsuță poștală pentru a primi corespondența pe care nu vrea ca soțul ei să o vadă.
62153n_50368	 Avea încredere în Jon, dar habar nu avea ce se întâmpla în mintea bărbatului.	 Avea încredere și îl plăcea pe Jon, dar nu era sigur ce se întâmpla în capul lui.
46678n_50378	 Nu vreau să le arăți.	 Aș prefera ca altcineva să le arate.
62758e_50383	 Statuia ecvestră indiană a lui Shivaji se află în fața porții.	 În fața porții se află o statuie a unui cal.
127292e_50397	 Bărbați feroce, cu pielea vopsită și plină de cicatrici, se holbau la Ca'daan în timp ce trecea pe lângă el.	 Bărbații i-au aruncat lui Ca'daan o privire răutăcioasă.
145566e_50408	 În Chicago și în Northridge, medicii ar fi trebuit să știe că nu este bine să urmeze orbește politica.	 În Chicago și Northbridge, medicii ar fi trebuit să știe că nu este bine să urmeze politica fără să pună întrebări.
133356n_50419	 "Serios?	 Vrei să spui asta?
8268n_50443	 le place să vorbească despre un fel de brevet, iar inginerii cu care vorbesc se îmbracă cam așa cum se îmbracă inginerii și sunt de obicei casual.	 Inginerii sunt foarte profesioniști, în ciuda hainelor lor casual.
101146n_50489	 Singura secvență magistrală a filmului este cea care prezintă un lot de păpuși goale, cu picioarele goale, alături de oameni ale căror fețe sunt ascunse în spatele unor măști expresive.	 Filmul are o mulțime de păpuși înfricoșătoare în el.
88835n_50515	 Nu există nicio reprezentare a lui Buddha în această epocă timpurie.	 Reprezentarea lui Buddha a venit mult mai târziu.
87515e_50549	 Totul mi-a ieșit din cap.	 Erau toate gândurile mele.
40312n_50555	 Nu cred că problema drogurilor va fi rezolvată prea curând. Cred că a fost distrasă de Panama și de problemele din Orientul Mijlociu. Lucrurile importante au prioritate în fața drogurilor. Cred că cel mai important lucru este să încercăm să ne oprim aici, pe frontul intern, și înainte să ne dăm seama, va dura ceva timp până când își vor da seama că eșuează, așa că vor trebui să meargă la sursă.	 Problemele legate de droguri nu sunt la fel de importante ca cele legate de Orientul Mijlociu.
141876n_50590	 Mă bucur că vă place planul." S-a ridicat.	 S-a ridicat în picioare după ce i-a răspuns celui care a răspuns. 
104491n_50619	 Spuneți-mi "vedeți acum că nu trebuie să fie arestat?	 Vedeți cât de important este să nu fiți dus la închisoare?".
32439e_50658	 ei bine, aproape că am simțit că a fost prea mult, într-adevăr, m-am trezit limitându-mi vizionarea la câteva ore pe zi, una dimineața și una seara.	 M-am simțit copleșită, așa că am decis să mă uit doar o oră dimineața și o oră seara.
60854c_50731	 Este adevărat, este adevărat, este adevărat. Ați început cu TI aici și apoi ați trecut la	 Asigură-te că faci TI-ul ultimul.
46159n_50737	 Dar nu trebuie să fii bătrân ca să apreciezi asta.	 Oamenii în vârstă apreciază asta. 
20078c_50752	 După un deceniu în care ne-am concentrat pe reducerea deficitului, știm că există cereri de utilizare a excedentelor bugetare preconizate.	 Ne-am concentrat pe reducerea deficitului pentru maximum patru ani.
129437e_50793	 La această activitate se adaugă vânzătorii de știuleți de porumb la grătar, lahmacun, simit și midii prăjite, care se întâlnesc cu bărcile de bucătărie pentru a face comerț în trecere, în timp ce vânzătorii de apă îi tentează pe clienții însetați cu băuturi cu aromă de lămâie și cireșe.	 Sunt disponibile multe tipuri de alimente și băuturi.
124477n_50798	 Nici altcineva din casă? a reflectat Annie. 	 Nimeni altcineva în clădire în afară de bătrân? a meditat Annie.
93765e_50808	 Posner nu poate rejudeca faptele sau impune un rezultat ca o chestiune de drept.	 Posner are limite în ceea ce privește ceea ce poate face.
114848c_50867	 Figura 1 prezintă numărul de minute pe cutie pe zi în funcție de densitate.	 Prima figură arată relația dintre putere și densitate.
74871n_50871	 și a mea este destul de stabilă sau mult mai stabilă, cred că, probabil, decât oricare dintre ei, dar acum am așteptat până la treizeci de ani ca să mă căsătoresc, iar ei toți s-au căsătorit la optsprezece ani, dar...	 Prietenii mei s-au căsătorit toți la 18 ani
23227e_50886	 bine și Țestoasele Ninja	 Ninja Turtles, de asemenea.
120689c_50904	 Wes Widmaier 	 n/a
73015n_50906	 dar... nu știu, am...	 Nu am auzit așa ceva.
9318e_50918	 Este genul de tânăr reticent care ar trebui să fie foarte sigur înainte de a se hazarda să își dea cu părerea." O jumătate de zâmbet a apărut pe buzele celuilalt.	 Zâmbetul de pe buzele celuilalt era doar o jumătate de zâmbet.
116679e_50951	 Compromis mental".  Greuze a zâmbit.	 Greuze părea să fie fericit.
6396n_50957	 Deși nu ne așteptăm la o uniformitate exactă sau poate nici măcar nu este posibilă atunci când oamenii sunt rugați să își amintească o definiție, variabilitatea extremă ilustrează faptul că am putea vorbi despre lucruri foarte diferite în	 Aproape nimeni nu-și poate aminti o definiție în mod exact uniform.
122861c_50965	 Predicând recent în catedrala catolică din Luxemburg, Preasfințitul Părinte Ioan Gură de Aur a spus: "Nu este o problemă.	 Preafericitul a fost surprins predicând în catedrala catolică.
144358e_50994	 Kalymnos are un interior arid, cu stânci și peșteri dramatice în jurul coastei.	 Stâncile și peșterile interesante din Kalymnos contrastează cu interiorul pustiu al insulei.
114465c_51008	 Huh, a murmurat Greuze, uitându-se spre mine.	 S-a uitat în direcția opusă celei în care stăteam eu.
26550c_51024	 După cum arată figura 4.3, economisirea doar a excedentelor de asigurări sociale nu va fi suficientă pentru a face față atât creșterii preconizate a drepturilor de asigurări sociale și de sănătate, cât și altor priorități naționale pe termen lung.	 Toată creșterea viitoare ar putea fi redusă cu ajutorul economiilor. 
109004c_51027	 Ne uităm la imaginea de ansamblu, a spus ea.	 Ea a spus că se uită la micile detalii.
166n_51038	 În cazul în care acest lucru nu este fezabil din cauza cerințelor de procesare a salariilor pentru a respecta zilele de plată stabilite, datele T&amp;A trebuie să fie pregătite și aprobate cât mai aproape de sfârșitul perioadei de plată pentru a permite totuși procesarea salariilor până în ziua de plată.	 Există cerințe de procesare a salariilor care pot cauza întârzieri,
82565c_51044	 Are pavaje splendide din marmură și, gravată în peretele uneia dintre camerele mai mici, o cruce controversată, considerată de unii ca fiind una dintre cele mai vechi relicve creștine, deși alții insistă că emblema nu a fost adoptată până la convertirea lui Constantin, trei secole mai târziu.	 Constantin a adoptat moaștele cu 5 secole în urmă.
64926e_51073	 Aici sunt expuse aproximativ 12.000, de la modele policrome din secolul al XV-lea până la stiluri art deco din secolul al XX-lea.	 Sunt expuse peste zece mii.
114869n_51075	 În prezent, acesta este laboratorul central al Comandamentului Material al Armatei.	 Acum, laboratorul de apă este laboratorul central al diviziei de armată.
141039e_51080	 Imperiul de Vest, condus de la Roma, a căzut în fața ostrogoților în 476, în timp ce vecinul său, Imperiul de Est sau Imperiul Bizantin, a devenit unul dintre cele mai longevive imperii pe care lumea le-a cunoscut vreodată, datând din 395 până în 1453.	 Imperiul de Vest a căzut cu aproape 1000 de ani înaintea Imperiului de Est.
123932n_51129	 Slate on Paper , trimisă prin e-mail în fiecare vineri, este o compilație numai text a celor mai multe din ceea ce Slate a publicat în timpul săptămânii.	 Slate on Paper este un rezumat săptămânal al revistei Slate care este trimis înainte de sâmbătă.
116226e_51136	 Nimic nu este menajat în ceea ce privește costumele și decorul; nu există nimic care să fie exagerat.  	 Estetica producției este plină și extravagantă.
106373c_51142	 În acel moment, fără reformă, deficitul va ajunge la niveluri inimaginabile.	 Nu sunt necesare reforme pentru a împiedica creșterea deficitului.
25944n_51151	 La 50 km mai la sud se află Templul din Edfu, al doilea cel mai mare templu din Egipt și unul dintre cele mai bine conservate.	 Al doilea cel mai mare templu din lume este Templul din Edfu.  
11206n_51164	 Urmărim planificarea de stat deoarece credem că clienții noștri cu venituri mici merită servicii de cea mai înaltă calitate care le pot fi puse la dispoziție în ciuda finanțării noastre limitate.	 Clienții cu venituri mici s-au dovedit a fi foarte mulțumiți de serviciile noastre.
87689e_51171	 Exemplul cel mai grăitor este în ceea ce privește semnalele contradictorii pe care le pot primi asociații cu privire la pro bono.	 Semnalele mixte din partea asociaților reprezintă cel mai flagrant exemplu.
32259c_51181	 Adică, dacă ar folosi asta, ar putea la fel de bine să se sinucidă, pentru că va fi capturat.	 Cred că ar fi mai bine pentru el să fie capturat pur și simplu.
88383e_51213	 Ambarcațiunile cu motor din capitală vă vor aduce aici în timp record.	 Poți ajunge aici rapid dacă iei o barcă cu motor.  
27017c_51233	 Vocea lui Susan era slabă în mintea lui Jon și l-a făcut să tremure.	 Jon habar nu avea cum suna vocea lui Susan.
71430n_51249	 Dar atunci când reprezinți un client care are nevoie disperată de servicii și care poate nu dispune de avansul necesar - ghici ce?	 Atunci când reprezentați un client care nu poate achita avansul cerut, sunteți în pierdere. 
62672e_51277	 Între timp, apelurile telefonice persistă din partea unor solicitanți care speră să refinanțeze din nou casa familiei Ledford.	 Solicitanții nu vor înceta să sune la familia Ledford. 
118305n_51286	 Lăsate nerezolvate, acestea pot costa societatea mult mai mult decât cheltuielile de furnizare de servicii juridice pentru a le soluționa.	 Prelungiți problema și societatea va plăti.
107999c_51299	 Zeci de fotografii înfățișează neoadolescenți la școală, la ferma familiei, pe străzile din centrul orașului, la mall și în dormitoarele lor (toate decorate, se pare, cu postere cu Hanson).	 Fotografiile înfățișează persoane în vârstă.
142237n_51303	 La fel ca James, majoritatea clienților sunt persoane în vârstă sau femei.	 Nu se știe de ce există atât de puțini clienți de sex masculin.
